link,title,date,newspaper
/news/news_read.naver?article_id=0001122263&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,간밤 6%대 급등한 비트코인…미 SEC 강경 기조 '제동',20230830,한국경제
/news/news_read.naver?article_id=0005064762&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,웹케시 '위빌365' 캄보디아 진출 ,20230830,서울경제
/news/news_read.naver?article_id=0005562931&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"피플바이오, 31일 유상증자 권리락 발생",20230830,서울경제
/news/news_read.naver?article_id=0005562928&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"삼기이브이, 31일 무상증자 권리락 발생",20230830,이데일리
/news/news_read.naver?article_id=0005562914&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,"센츠럴바이오서 사명 변경한 중앙디앤엠, 내달부턴 '중앙첨단소재'로",20230830,한국경제TV
/news/news_read.naver?article_id=0004885729&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=3,투자자 젠투·라임펀드 '사적 화해'…금감원 배상기준 따라 최대 80%,20230830,한국경제
/news/news_read.naver?article_id=0001122262&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"""5명이 273조원 점검""...부실조사 실효성 '글쎄'",20230830,한국경제
/news/news_read.naver?article_id=0004232128&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"코오롱FnC, '하이드아웃' 내세워 캠핑족 노린다",20230830,한국경제TV
/news/news_read.naver?article_id=0002190563&office_id=016&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,키움證 “9월 코스피밴드 2450~2680…반도체·2차전지 수급회전 빈번할 것” [투자360],20230830,서울경제
/news/news_read.naver?article_id=0005562908&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"국고채, 장기물 약보합 전환… 미 고용지표·PCE 발표 대기[채권마감]",20230830,이데일리
/news/news_read.naver?article_id=0005562907&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"하나증권, 평택·김천·전북에너지 매각 추진…매각가 1조 추정",20230830,헤럴드경제
/news/news_read.naver?article_id=0005179730&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"대신證, 위례WM센터서 하반기 금융·문화 세미나 진행",20230830,이데일리
/news/news_read.naver?article_id=0004232121&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,[시그널] 스팩 청약 여전히 '후끈'…한화스팩4호에 1.8조 '뭉칫돈',20230830,이데일리
/news/news_read.naver?article_id=0005179726&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,현대건설·롯데케미칼 '회사채 역전극',20230830,매일경제
/news/news_read.naver?article_id=0005179716&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,레버리지·인버스 열풍에 테마형 2배 추종 ETF 봇물,20230830,매일경제
/news/news_read.naver?article_id=0005179712&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"""10년물 금리 정점…美리츠·장기채 유망""",20230830,매일경제
/news/news_read.naver?article_id=0004885728&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,,20230830,매일경제
/news/news_read.naver?article_id=0005562911&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"거래소, 스마트레이더시스템에 현저한 시황변동 조회공시 요구",20230830,서울경제
/news/news_read.naver?article_id=0005179729&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,CFD 거래 9월부터 재개,20230830,매일경제
/news/news_read.naver?article_id=0005179728&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,,20230830,매일경제
/news/news_read.naver?article_id=0005179727&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,46개 중 단 1개만 담았다 'ETF 왕따' 된 삼성전자,20230830,매일경제
/news/news_read.naver?article_id=0005179719&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,오늘의 증시 일정 (8월 31일),20230830,매일경제
/news/news_read.naver?article_id=0005179718&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,[코스닥 공시] 티에프이 / 알로이스 / 시공테크,20230830,매일경제
/news/news_read.naver?article_id=0005179717&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,[유가증권시장 공시] 백산 / 한국전력공사,20230830,매일경제
/news/news_read.naver?article_id=0005179715&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"하나證, 발전소 3곳 매각 착수…1조 규모",20230830,매일경제
/news/news_read.naver?article_id=0005179714&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=4,"[단독] 금감원, 은행·증권 이어 운용사 자금세탁 검사",20230830,매일경제
/news/news_read.naver?article_id=0004232118&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"[시그널]PKF서현, M&A팀 확대…빅4 도약 꿈꾼다",20230830,서울경제
/news/news_read.naver?article_id=0004232117&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"데일리임팩트, ‘행동주의펀드와 상장기업 거버넌스’ 토론회",20230830,서울경제
/news/news_read.naver?article_id=0001122260&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,방향 튼 기관…다음 타자 '자율주행차' [마켓플러스],20230830,한국경제TV
/news/news_read.naver?article_id=0002190562&office_id=016&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,스마트폰시장 25개월 연속 역성장…침체기일수록 ‘아이폰’을 주목하는 이유는? [투자360],20230830,헤럴드경제
/news/news_read.naver?article_id=0002744418&office_id=119&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"금감원, NH證도 ‘라임 특혜성 환매’ 현장검사 착수",20230830,데일리안
/news/news_read.naver?article_id=0005179685&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,밀려드는 외국인 관광객 … 화장품株 '방긋',20230830,서울경제
/news/news_read.naver?article_id=0000019132&office_id=648&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,SK텔레콤 '스포츠 ESG' 아시안게임서 빛볼까,20230830,매일경제
/news/news_read.naver?article_id=0004885720&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"카사, '압구정 빌딩' 조각투자 1주만 청약해도 1만원 쏜다",20230830,매일경제
/news/news_read.naver?article_id=0000928071&office_id=366&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,올해 공인회계사 최종 합격자 1100명…최연소는 19세 서울대생,20230830,비즈워치
/news/news_read.naver?article_id=0002822337&office_id=029&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,발전소 3곳 내놓은 하나證… 매각 예상액 1조 이상 전망,20230830,한국경제
/news/news_read.naver?article_id=0000019131&office_id=648&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"현대차그룹, 고려아연과 배터리 동맹",20230830,아시아경제
/news/news_read.naver?article_id=0004931905&office_id=008&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"하나증권, 지역발전소 3곳 매각 진행…1조원대 예상",20230830,조선비즈
/news/news_read.naver?article_id=0005179658&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,中 단체관광객 귀환에 주가 40% 급등…유커 수혜주 살펴보니,20230830,아시아경제
/news/news_read.naver?article_id=0000019130&office_id=648&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"네오위즈, 콘솔 대작 'P의 거짓' 기대감↑",20230830,디지털타임스
/news/news_read.naver?article_id=0002190551&office_id=016&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"보통 주가에 부정적인 ‘유상증자’, 한화오션엔 ‘공식’ 통하지 않았던 이유 [투자360]",20230830,비즈워치
/news/news_read.naver?article_id=0004232114&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,기업공시[8월 30일],20230830,머니투데이
/news/news_read.naver?article_id=0005179684&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,,20230830,매일경제
/news/news_read.naver?article_id=0005307170&office_id=277&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"파수, 인도네시아 사이버 보안 행사 참가",20230830,이데일리
/news/news_read.naver?article_id=0005307169&office_id=277&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"플리토, 신세계백화점 본점에 디지털 메뉴 번역 제공",20230830,비즈워치
/news/news_read.naver?article_id=0005562888&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=5,"시큐센 ""현저한 시황변동 관련 중요 정보 없어""",20230830,헤럴드경제
/news/news_read.naver?article_id=0004931898&office_id=008&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,'美 고용 둔화' 긴축 종료 기대감…코스피·코스닥 상승,20230830,이데일리
/news/news_read.naver?article_id=0012059891&office_id=003&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,올해 공인회계사 시험 1100명 최종 합격…전년비 137명↓,20230830,이데일리
/news/news_read.naver?article_id=0007019156&office_id=421&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,공인회계사 1100명 최종 합격…최연소 '19살 서울대생',20230830,머니투데이
/news/news_read.naver?article_id=0000019127&office_id=648&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,네이버 초기투자한 '크라우드웍스' 코스닥행,20230830,뉴시스
/news/news_read.naver?article_id=0000019126&office_id=648&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"[현장에서]'주총부터 취임식까지'…KT 김영섭, 조용한 출발",20230830,한국경제
/news/news_read.naver?article_id=0000757900&office_id=469&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"가계부채 증가 원인 지목된 특례보금자리론, 금리 또 올린다",20230830,뉴스1
/news/news_read.naver?article_id=0014161529&office_id=001&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"현대차그룹, 고려아연 지분 5% 인수…니켈 공급망 협업(종합)",20230830,비즈워치
/news/news_read.naver?article_id=0014161527&office_id=001&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,5대 은행 7월 가계대출 예대금리차 농협·KB·신한 순,20230830,비즈워치
/news/news_read.naver?article_id=0004931883&office_id=008&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,올해 공인회계사 최종 1100명 합격... 최연소 합격자는 19세 서울대생,20230830,한국일보
/news/news_read.naver?article_id=0007019129&office_id=421&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,속도 2배 빠른 기업용 챗GPT 온다…국내 AI 관련주 '들썩'[핫종목],20230830,아시아경제
/news/news_read.naver?article_id=0005179614&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"KB증권, 업라이즈투자자문과 ‘든든 주니어’ 서비스 선보여",20230830,연합뉴스
/news/news_read.naver?article_id=0001122245&office_id=215&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,기관 3일 연속 '사자'…반도체 담았다,20230830,연합뉴스
/news/news_read.naver?article_id=0004885708&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"中 위기에 박스피 이어지나…""9월 코스피, 2400~2700 예상""",20230830,머니투데이
/news/news_read.naver?article_id=0004885707&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"신한증권, 젠투·라임 펀드 투자자와 '사적 화해' 추진",20230830,뉴스1
/news/news_read.naver?article_id=0004885706&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"""에코프로 다음은 여기""…개미들 1조3000억 폭풍 매수한 종목",20230830,매일경제
/news/news_read.naver?article_id=0004885705&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"""왜 올랐지"" 지주사 전환 동국3사, 사흘째 주가 상승",20230830,한국경제TV
/news/news_read.naver?article_id=0005562883&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"솔브레인홀딩스, 계열사 지분 834억 추가 취득 결정",20230830,한국경제
/news/news_read.naver?article_id=0005562879&office_id=018&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,"에스엠코어, 롯데건설과 685억 규모 공급계약 체결",20230830,한국경제
/news/news_read.naver?article_id=0004885714&office_id=015&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,美 증시 섣부른 안도는 금물…,20230830,한국경제
/news/news_read.naver?article_id=0005307145&office_id=277&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=6,1100명 공인회계사 시험 최종 합격…지난해보다 137명 ↓,20230830,한국경제
/news/news_read.naver?article_id=0005064688&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=7,"""일본 증시와 부동산 전망 들으러 오세요""...대신증권, 세미나 진행",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064687&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=7,"공인회계사 1100명 배출···최연소 19세, 최연장 42세",20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0005064685&office_id=014&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=7,엔비디아 효과에도 잠잠한 삼성전자...6만전자 언제 벗어날까,20230830,파이낸셜뉴스
/news/news_read.naver?article_id=0002190537&office_id=016&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=7,회사채 발행 속속 성공하는 건설사들…“미래 리스크 대비” [투자360],20230830,헤럴드경제
/news/news_read.naver?article_id=0005179609&office_id=009&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=7,“끝날 때까지 끝난 게 아니다”…와이지엔터 새 공주님 등장에 ‘껑충’,20230830,매일경제
/news/news_read.naver?article_id=0012059834&office_id=003&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=7,"신한證, 젠투·라임펀드 `사적 화해' 결정...다음달부터 배상 협상 진행",20230830,뉴시스
/news/news_read.naver?article_id=0004232062&office_id=011&mode=LSS2D&type=0&section_id=101&section_id2=258&section_id3=&date=20230830&page=7,"[마감 시황] 코스피, 외인 '팔자'에도 강보합 마감…거래대금 7조원대 그쳐",20230830,서울경제
